"","X","Instrument","Company.Common.Name","Country.of.Exchange","Company.Market.Cap","GICS.Sub.Industry.Code","GICS.Sub.Industry.Name"
"1",111,"WMT.OQ","Walmart Inc","United States of America",887644148948.7,30101040,"Consumer Staples Merchandise Retail"
"2",76,"COST.OQ","Costco Wholesale Corp","United States of America",420196166790,30101040,"Consumer Staples Merchandise Retail"
"3",15,"KO.N","Coca-Cola Co","United States of America",361623647232.9,30201030,"Soft Drinks & Non-alcoholic Beverages"
"4",28,"NESN.S","Nestle SA","Switzerland",272506687872.763,30202030,"Packaged Foods & Meats"
"5",98,"MCD.N","McDonald's Corp","United States of America",200511858468.39,25301040,"Restaurants"
"6",63,"PEP.OQ","PepsiCo Inc","United States of America",198154070308.7,30201030,"Soft Drinks & Non-alcoholic Beverages"
"7",4,"DE.N","Deere & Co","United States of America",162936929104.25,20106015,"Agricultural & Farm Machinery"
"8",163,"SBUX.OQ","Starbucks Corp","United States of America",118084317000,25301040,"Restaurants"
"9",457,"MNST.OQ","Monster Beverage Corp","United States of America",94788546021.2,30201030,"Soft Drinks & Non-alcoholic Beverages"
"10",70,"ATD.TO","Alimentation Couche-Tard Inc","Canada",59379777955.525,30101030,"Food Retail"
"11",79,"TGT.N","Target Corp","United States of America",57932076335.6,30101040,"Consumer Staples Merchandise Retail"
"12",10,"DANO.PA","Danone SA","France",57848319012.0463,30202030,"Packaged Foods & Meats"
"13",95,"L.TO","Loblaw Companies Ltd","Canada",51467110939.531,30101030,"Food Retail"
"14",156,"WALMEX.MX","Wal Mart de Mexico SAB de CV","Mexico",49250958515.0422,30101040,"Consumer Staples Merchandise Retail"
"15",469,"CCEP.OQ","Coca-Cola Europacific Partners PLC","United States of America",47202678340.5,30201030,"Soft Drinks & Non-alcoholic Beverages"
"16",240,"YUM.N","Yum! Brands Inc","United States of America",46163795122.98,25301040,"Restaurants"
"17",215,"NUTRESA.CN","Grupo Nutresa SA","Colombia",42120818054.1532,30202030,"Packaged Foods & Meats"
"18",107,"SYY.N","Sysco Corp","United States of America",40463812288.96,30101020,"Food Distributors"
"19",27,"TSCO.L","Tesco PLC","United Kingdom",39449578609.1882,30101030,"Food Retail"
"20",61,"ADM.N","Archer-Daniels-Midland Co","United States of America",37689000411.4,30202010,"Agricultural Products & Services"
